"","Lost Mound","High Mesa","Big Pot","Bayless Ruin","Twin Hawks","AZ U:4:009 (ASM)","AZ U:8:589 (ASM)","AZ V:5:125 (ASM)","Bass Point Mound","Griffen Wash Complex","Indian Point Complex","Las Tortugas","Los Hermanos","Meddler Point Mound","Pinto Point Mound","Pyramid Point Complex","Schoolhouse Point Mesa Complex","Lovelady Ranch","AZ W:11:7","WS Ranch","Largo Canyon","Foote Canyon Pueblo","AZ W:8:4","Blue PO Site","AZ W:8:9","LA 5939","LA 9777","LA 105878","LA 105880","Slade","Greenwood","Danson Pueblo","Hooper Ranch Pueblo","Apache Creek Pueblo","LA 3274","LA 4987","LA 4989","Pueblo Carrejo","LA 6063","LA 8090","Higgins Flat","Hudson Ranch","LA 83287","LA 85442","3-Up","Babocomari Village","Aztec","Maddox Ranch","Animas River Ruin","Holmes Group","Flora Vista","Red Willow II","Lizard House","LA 6679","LA 6705","LA 6725","LA 6729","Skunk Springs","LA 7067","LA 7068","LA 7075","LA 7095","LA 7138","LA 7189","LA 7192","LA 7200","LA 7290","LA 7318","LA 7343","LA 7417","LA 7433","LA 7434","LA 7465","LA 7475","LA 7501","LA 7502","LA 7526","LA 7538","LA 7582","LA 7584","LA 7591","LA 7624","LA 7641","LA 7690","LA 7704","LA 7753","LA 7778","LA 7781","LA 7787","LA 7935","LA 7938","LA 7973","LA 8200","LA 8204","LA 8433","LA 8458","LA 8477","LA 8500","LA 8519","LA 8549","Shannon Bluff-Point","Fruitland Pueblo","Salmon II","LA 12758","West Water","LA 13114","LA 20266","LA 50078","LA 52606","Kello Blancett","LA 60009","LA 60020","Morris' Old Fort","LA 100068","LA 100069","LA 100082","Awat'ovi","Heshoda Yala:wa","Techado Spring","Jaralosa","Horse Camp Mill","Hinkson Ranch","Eagle Crag","Wide Reed Ruin","Hogay Ruin","Kinlichee","Cornfields","Dinwiddie","Lululongturqi","Abangkuyivi","Hubble Corner","Owens-Colvin","Rocky Point","Schoolhouse Point Mound","Roundy Ruin","Bean Patch","Garcia Ranch","Carter Ranch Pueblo","Broken K Pueblo","Hardscrabble Ruin","Houghton Site","Seven Springs","Malpais Spring","Chezhinchotah","Scribe S","Lower Deracho","Box S","LA 15560","LA 47563","Los Gigantes","Spier 81","LA 109857","LA 109993","Citadel/Nalakihu","Wupatki","Crack-in-Rock","Many Farms","Lukachukai GH","Antelope House","White House II","Salina Springs II","Boss Ranch","Old Caves","Elden Pueblo","Burned Pueblo","Turkey Hill Pueblo","Ridge Ruin","Tachini Point","Inscription House","Tower House","Batwoman House","Twin Caves Pueblo","Red House","NA 4157","Kinlani","Olla House","Double Wall Ruin","NA 5628","Hummingbird House","NA 8816","NA 8820","NA 8886","NA 8895","Organ Rock","Pueblo Grande","Burnt Corn GH","Pinon Ruin","AZ E:6:1","Ford House","Montezuma Well (E.Rim)","Montezuma Castle A & B","Honanki","Piglet","Zanardelli Site","Gibbon  Springs","Fitzmaurice Ruin","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Whiptail Ruin","Tanque Verde Village","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Dakota Wash","Hodges Ruin","Romero Ruin","Los Morteros","Casa Buena","Kuykendall","Curtis Ruin(Buena Vista)","Drip","Twin Towers","North Mesa","Juniper Terrace","Cosnino Caves","Two Kivas","Atsee Nitsaa","Tuzigoot","Roosevelt 9:13","Earven Flat Site","Danson 481","Rabid Ruin","San Xavier Bridge","Continental Site","Cerro Prieto--Santa Cruz","Omawovi","Paaqapa","LA 76368","LA 7085","LA 7791","LA 8532","Yuma Wash--Tucson","CS165","CS195","LZ1232","LZ1245","LZ1301","LZ1302","LZ1305","South Ruin","LZ1307","LZ1310","LA 47515","LA 47562","FSOP13","FSOP15","LA 15623","LA 15667","LA 15669","LA 15671","LA 15673","AZ Q:4:58 (ASM)","Forestdale Pueblo","Garden Canyon","Rillito Fan","LA 82683","LA 82762","LA 85954","LA 85796","LA 85989","LA 86013","LA 86027","LA 86037","LA 86054","LA 82726","LA 82740","LA 82741","LA 82693","LA 82747","LA 82763","LA 85977","LA 86042"
"Citadel/Nalakihu","0","0","0","0","0","0.073","0","0","0.069","0.034","0.111","0.223","0.064","0.152","0.044","0","0.106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.017","0","0","0","0","0","0","0.012","0","0","0.04","0.009","0.012","0.012","0","0.09","0.012","0.062","0.012","0","0.012","0","0.012","0","0","0.05","0.018","0.025","0","0","0","0","0","0","0.012","0","0","0.012","0","0","0","0.045","0","0","0.012","0","0.143","0","0","0","0.016","0.017","0","0.012","0","0","0.002","0","0","0","0","0","0","0","0.012","0.012","0","0.012","0","0","0.221","0","0.006","0","0","0","0.381","0.029","0.318","0.194","0.177","0","0.369","0.154","0","0","0.077","0.079","0.043","0","0.001","0","0","0","0.025","0","0.381","0.369","0","0","0","0","0","0","0","0","0","1","0.381","0.381","0.204","0.166","0.13","0.268","0.279","0","0.414","0.381","0","0.381","0.381","0.166","0.166","0.107","0.166","0.166","0.37","0.166","0.166","0.166","0.166","0.166","0.166","0.166","0.166","0.166","0.166","0.048","0","0.166","0.166","0.154","0.166","0.335","0.275","0.489","0.247","0","0","0.653","0","0","0","0.012","0","0","0","0.056","0","0","0","0","0","0","0","0.004","0","0","0","0","0","0","0.015","0.381","0.382","0.228","0.381","0","0.667","0.215","0","0","0","0","0","0","0.166","0.166","0","0.012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wupatki","0","0","0","0","0","0.073","0.003","0","0.071","0.036","0.113","0.24","0.064","0.155","0.047","0.003","0.109","0.002","0.002","0.003","0.003","0.003","0.002","0.003","0.003","0.002","0.002","0.002","0.003","0.002","0.003","0.002","0.003","0.003","0.002","0.002","0.002","0","0.003","0.002","0.003","0.003","0.002","0","0.003","0","0.04","0.002","0.002","0.002","0.002","0.002","0","0.032","0","0.002","0.043","0.011","0.032","0.034","0","0.113","0.032","0.062","0.034","0","0.017","0","0.032","0","0.002","0.07","0.02","0.027","0.002","0","0","0.002","0.002","0","0.032","0","0.002","0.032","0","0.002","0.002","0.045","0","0","0.034","0","0.143","0","0.002","0.002","0.019","0.02","0.002","0.032","0.002","0","0.005","0.002","0","0","0.002","0","0.002","0.002","0.034","0.034","0.002","0.015","0","0","0.779","0.002","0.009","0.002","0.002","0.002","0.735","0.052","0.82","0.343","0.179","0","0.875","0.592","0.002","0.003","0.08","0.082","0.046","0.002","0.003","0.003","0.003","0.002","0.027","0.002","0.473","0.411","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.381","1","0.849","0.592","0.312","0.152","0.422","0.674","0.003","0.877","0.72","0","0.855","0.727","0.393","0.583","0.128","0.613","0.456","0.689","0.232","0.757","0.472","0.644","0.661","0.724","0.366","0.46","0.35","0.573","0.068","0","0.202","0.757","0.725","0.258","0.381","0.321","0.803","0.273","0","0","0.034","0","0","0","0.007","0","0","0","0.07","0","0","0","0","0","0","0","0","0","0","0","0.002","0.003","0","0.038","0.772","0.848","0.821","0.689","0.002","0.474","0.219","0.003","0.002","0","0","0","0","0.757","0.757","0.002","0.014","0","0.002","0","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.014","0","0","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002"
"Crack-in-Rock","0","0","0","0","0","0.073","0","0","0.069","0.034","0.111","0.24","0.064","0.152","0.044","0","0.106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0.036","0","0","0.04","0.009","0.071","0.051","0","0.118","0.091","0.062","0.091","0","0.017","0","0.091","0","0","0.077","0.018","0.027","0","0","0","0","0","0","0.045","0","0","0.091","0","0","0","0.045","0","0","0.051","0","0.143","0","0","0","0.016","0.017","0","0.091","0","0","0.002","0","0","0","0","0","0","0","0.056","0.034","0","0.013","0","0","0.724","0","0.006","0","0","0","0.824","0.061","0.765","0.341","0.177","0","0.909","0.577","0","0","0.077","0.079","0.043","0","0.001","0","0","0","0.025","0","0.562","0.502","0","0","0","0","0","0","0","0","0","0.381","0.849","1","0.652","0.369","0.209","0.479","0.731","0","0.924","0.809","0","0.953","0.837","0.451","0.642","0.187","0.668","0.515","0.746","0.292","0.668","0.531","0.668","0.668","0.668","0.425","0.52","0.409","0.633","0.128","0","0.261","0.642","0.577","0.317","0.531","0.445","0.862","0.364","0","0","0.033","0","0","0","0.007","0","0","0","0.125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.041","0.865","0.966","0.73","0.805","0","0.583","0.216","0","0","0","0","0","0","0.627","0.668","0","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Many Farms","0.184","0.078","0.184","0.052","0.184","0.223","0.184","0.184","0.223","0.218","0.223","0.231","0.223","0.223","0.223","0.184","0.223","0.184","0.184","0.184","0.043","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0","0.224","0","0","0.184","0","0","0.008","0.036","0.01","0.008","0.04","0.136","0.071","0.051","0","0.078","0.095","0.038","0.294","0","0.033","0","0.327","0","0","0.077","0.018","0.027","0","0","0","0.021","0","0","0.045","0","0","0.167","0","0","0","0.045","0","0","0.051","0","0.143","0","0","0","0.035","0.017","0.017","0.188","0","0","0.002","0","0","0","0","0","0","0","0.056","0.034","0.184","0.027","0.184","0","0.813","0.184","0.19","0.184","0.184","0.184","0.553","0.16","0.645","0.34","0.31","0","0.56","0.522","0.184","0.178","0.226","0.224","0.224","0.184","0.185","0.184","0.184","0.184","0.209","0.184","0.274","0.209","0.132","0.184","0.184","0.184","0.102","0.184","0.184","0.184","0.184","0.204","0.592","0.652","1","0.553","0.306","0.516","0.816","0.184","0.667","0.516","0","0.66","0.544","0.616","0.778","0.351","0.777","0.678","0.752","0.456","0.678","0.695","0.788","0.777","0.777","0.589","0.684","0.573","0.777","0.292","0","0.425","0.587","0.522","0.481","0.255","0.152","0.682","0.255","0","0.001","0.033","0","0","0","0.007","0.004","0","0","0.127","0.003","0","0.007","0","0","0","0","0","0","0.001","0","0","0.11","0","0.048","0.572","0.685","0.676","0.513","0","0.296","0.223","0.184","0.184","0","0","0.001","0","0.572","0.682","0.184","0.131","0","0","0.002","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0","0.142","0.184","0.184","0.184","0.184","0.184","0.077","0.184","0.184","0.196","0","0","0.167","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.184","0.177","0.184","0.169","0.184","0.13"
"Lukachukai GH","0.021","0.021","0.021","0.021","0.021","0.021","0.041","0.021","0.041","0.041","0.041","0.029","0.021","0.035","0.041","0.036","0.04","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.021","0.041","0.041","0.041","0.041","0.041","0.021","0.041","0","0.081","0.02","0.02","0.033","0.02","0.02","0.008","0.036","0.01","0.029","0.052","0.05","0.071","0.071","0","0.055","0.095","0","0.217","0","0.033","0","0.163","0","0.019","0.077","0.036","0.027","0.02","0","0","0.041","0.02","0","0.045","0","0.02","0.167","0","0.02","0.02","0.045","0","0","0.072","0","0.143","0","0.02","0.02","0.056","0.02","0.037","0.188","0.02","0","0.011","0.02","0","0","0.002","0","0.02","0.008","0.077","0.054","0.041","0.047","0.021","0","0.53","0.041","0.042","0.041","0.041","0.041","0.347","0.096","0.354","0.298","0.128","0","0.278","0.278","0.041","0.041","0.044","0.042","0.03","0.041","0.042","0.041","0.041","0.041","0.062","0.041","0.256","0.171","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.166","0.312","0.369","0.553","1","0.288","0.429","0.636","0.041","0.384","0.33","0","0.397","0.329","0.916","0.727","0.777","0.696","0.843","0.531","0.814","0.433","0.838","0.666","0.648","0.585","0.944","0.841","0.959","0.736","0.718","0","0.428","0.343","0.278","0.777","0.216","0.114","0.399","0.053","0","0.001","0.024","0","0","0","0","0.004","0","0","0.122","0.003","0","0.007","0","0","0","0","0","0","0.001","0","0.008","0.041","0","0.066","0.311","0.402","0.413","0.358","0.02","0.259","0.041","0.035","0.041","0","0","0.001","0","0.327","0.438","0.041","0.035","0","0.02","0.002","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.02","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.049","0","0","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041","0.041"
"Antelope House","0.003","0.003","0.003","0.003","0.003","0.067","0.043","0.003","0.13","0.093","0.095","0.075","0.067","0.081","0.096","0.018","0.087","0.065","0.193","0.108","0.283","0.283","0.131","0.095","0.283","0.131","0.068","0.073","0.046","0.219","0.283","0.283","0.178","0.054","0.13","0.036","0.283","0.003","0.058","0.025","0.028","0.129","0.095","0.003","0.272","0","0.485","0.098","0.427","0.403","0.451","0.646","0.39","0.156","0.382","0.41","0.342","0.236","0.357","0.337","0.388","0.3","0.452","0.188","0.65","0.388","0.407","0.388","0.479","0.388","0.406","0.465","0.423","0.415","0.417","0.353","0.388","0.411","0.433","0.167","0.136","0.388","0.408","0.333","0.388","0.333","0.422","0.433","0","0.388","0.508","0.388","0.197","0.388","0.448","0.409","0.488","0.449","0.543","0.25","0.416","0.388","0.399","0.612","0.388","0.388","0.39","0.388","0.553","0.396","0.486","0.557","0.414","0.485","0.016","0.388","0.32","0.283","0.289","0.254","0.144","0.183","0.191","0.395","0.286","0.374","0.412","0","0.118","0.054","0.283","0.046","0.351","0.09","0.054","0.161","0.284","0.069","0.256","0.283","0.308","0.283","0.267","0.118","0.283","0.283","0.283","0.135","0.283","0.283","0.283","0.283","0.283","0.13","0.152","0.209","0.306","0.288","1","0.652","0.351","0.283","0.225","0.178","0","0.239","0.169","0.269","0.265","0.265","0.265","0.265","0.415","0.45","0.209","0.265","0.267","0.265","0.265","0.265","0.273","0.265","0.265","0.247","0","0.265","0.119","0.054","0.488","0.226","0.178","0.239","0.1","0","0.001","0.034","0","0","0","0.007","0.003","0","0","0.127","0.003","0","0.003","0","0","0","0","0","0","0.001","0","0.008","0.283","0","0.449","0.152","0.242","0.291","0.198","0.28","0.173","0.112","0.017","0.216","0","0","0.001","0","0.104","0.214","0.159","0.337","0.388","0.382","0.002","0.283","0.283","0.283","0.283","0.283","0.283","0.283","0.283","0.283","0.283","0.28","0.283","0.283","0.283","0.283","0.283","0.283","0.283","0.283","0.246","0.071","0","0","0.283","0.283","0.203","0.283","0.283","0.271","0.226","0.258","0.283","0.283","0.283","0.283","0.283","0.283","0.283","0.245","0.283"
"White House II","0.081","0.078","0.081","0.052","0.081","0.154","0.121","0.081","0.212","0.171","0.21","0.191","0.145","0.197","0.175","0.096","0.202","0.143","0.253","0.187","0.216","0.253","0.21","0.173","0.253","0.209","0.146","0.151","0.125","0.253","0.253","0.253","0.253","0.132","0.208","0.114","0.253","0.081","0.136","0.103","0.106","0.208","0.173","0.081","0.253","0","0.424","0.098","0.288","0.342","0.312","0.42","0.257","0.156","0.258","0.281","0.3","0.315","0.32","0.322","0.248","0.314","0.343","0.188","0.612","0.248","0.282","0.248","0.44","0.248","0.267","0.325","0.284","0.275","0.278","0.248","0.248","0.29","0.293","0.167","0.136","0.248","0.269","0.277","0.248","0.322","0.283","0.294","0","0.248","0.369","0.248","0.286","0.248","0.308","0.269","0.365","0.309","0.418","0.173","0.277","0.248","0.259","0.42","0.248","0.248","0.25","0.248","0.413","0.256","0.347","0.418","0.352","0.357","0.094","0.248","0.452","0.253","0.259","0.253","0.222","0.253","0.481","0.365","0.602","0.498","0.43","0","0.388","0.286","0.253","0.124","0.33","0.182","0.132","0.239","0.254","0.147","0.253","0.253","0.278","0.253","0.461","0.273","0.253","0.253","0.253","0.213","0.253","0.253","0.253","0.253","0.253","0.268","0.422","0.479","0.516","0.429","0.652","1","0.52","0.253","0.495","0.448","0","0.518","0.439","0.401","0.397","0.206","0.397","0.397","0.631","0.497","0.397","0.397","0.407","0.397","0.397","0.397","0.405","0.397","0.397","0.147","0","0.28","0.351","0.286","0.56","0.318","0.216","0.499","0.215","0","0.001","0.034","0","0","0","0.007","0.004","0","0","0.127","0.003","0","0.007","0","0","0","0","0","0","0.001","0","0.008","0.253","0","0.314","0.421","0.499","0.519","0.468","0.172","0.361","0.228","0.095","0.253","0","0","0.001","0","0.336","0.397","0.237","0.343","0.248","0.274","0.002","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.172","0.253","0.253","0.253","0.253","0.253","0.253","0.249","0.253","0.253","0.149","0","0","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.253","0.253"
"Salina Springs II","0","0","0","0","0","0.073","0.022","0","0.091","0.055","0.132","0.121","0.064","0.127","0.066","0.016","0.126","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0","0.022","0.022","0.022","0.022","0.022","0","0.022","0","0.062","0.022","0.022","0.013","0.022","0.022","0","0.036","0","0.022","0.052","0.031","0.071","0.073","0","0.133","0.095","0.062","0.198","0","0.017","0","0.143","0","0.019","0.077","0.036","0.027","0.022","0","0","0.021","0.022","0","0.045","0","0.021","0.167","0","0.022","0.022","0.045","0","0","0.073","0","0.143","0","0.022","0.021","0.038","0.039","0.022","0.188","0.022","0","0.011","0.022","0","0","0.002","0","0.022","0.008","0.078","0.055","0.022","0.035","0","0","0.836","0.022","0.028","0.022","0.022","0.022","0.627","0.083","0.697","0.363","0.198","0","0.64","0.527","0.022","0.022","0.099","0.101","0.051","0.022","0.022","0.022","0.022","0.022","0.047","0.022","0.364","0.283","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.279","0.674","0.731","0.816","0.636","0.351","0.52","1","0.022","0.746","0.612","0","0.748","0.618","0.699","0.866","0.434","0.866","0.762","0.798","0.539","0.683","0.778","0.866","0.866","0.835","0.672","0.767","0.656","0.866","0.375","0","0.428","0.592","0.527","0.564","0.329","0.226","0.761","0.145","0","0","0.034","0","0","0","0.007","0","0","0","0.125","0","0","0","0","0","0","0","0","0","0","0","0.008","0.022","0","0.059","0.646","0.764","0.726","0.605","0.022","0.366","0.134","0.014","0.022","0","0","0","0","0.577","0.688","0.022","0.014","0","0.022","0","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.033","0","0","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022"
"Boss Ranch","0.299","0.093","0.266","0.068","0.29","0.283","0.288","0.283","0.349","0.347","0.326","0.283","0.274","0.3","0.34","0.299","0.297","0.336","0.465","0.39","0.512","0.661","0.403","0.375","0.743","0.403","0.34","0.345","0.327","0.49","0.628","0.72","0.458","0.334","0.402","0.307","0.735","0.274","0.338","0.296","0.308","0.41","0.366","0.274","0.627","0.039","0.313","0.339","0.04","0.287","0.063","0.258","0.008","0","0.01","0.033","0.011","0.276","0","0.023","0","0.015","0","0","0.294","0","0.017","0","0.238","0","0.019","0","0.018","0","0.029","0","0","0.042","0.045","0","0","0","0.021","0","0","0.074","0.034","0","0","0","0.069","0","0","0","0.06","0.021","0.101","0.044","0.169","0","0.029","0","0.009","0.224","0","0","0.002","0","0.165","0.008","0.042","0.136","0.298","0.096","0.274","0","0","0.735","0.739","0.525","0.415","0.455","0.065","0.559","0.174","0.46","0.662","0.085","0","0","0.703","0.23","0.711","0.309","0.291","0.433","0.69","0.349","0.536","0.577","0.743","0.555","0.129","0","0.592","0.661","0.735","0.407","0.562","0.735","0.735","0.735","0.735","0","0.003","0","0.184","0.041","0.283","0.253","0.022","1","0","0.028","0","0.044","0","0.002","0","0","0","0","0.133","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.248","0.016","0.017","0.001","0.016","0","0.016","0.016","0.019","0.016","0.005","0.017","0.018","0.016","0.022","0.016","0","0","0.016","0.021","0.016","0.016","0","0.112","0.413","0.016","0.025","0","0","0.06","0.029","0.46","0.007","0.344","0.257","0.488","0.019","0.016","0.016","0.016","0","0","0.431","0.117","0","0.287","0.017","0.735","0.735","0.734","0.734","0.735","0.735","0.735","0.597","0.735","0.735","0.46","0.603","0.677","0.744","0.735","0.735","0.735","0.537","0.735","0.518","0.34","0.017","0.016","0.627","0.679","0.475","0.735","0.735","0.542","0.498","0.529","0.709","0.668","0.681","0.651","0.637","0.712","0.63","0.517","0.59"
"Old Caves","0","0","0","0","0","0.073","0","0","0.069","0.034","0.111","0.24","0.064","0.152","0.044","0","0.106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0.036","0","0","0.04","0.009","0.071","0.051","0","0.118","0.095","0.062","0.107","0","0.017","0","0.107","0","0","0.077","0.018","0.027","0","0","0","0","0","0","0.045","0","0","0.107","0","0","0","0.045","0","0","0.051","0","0.143","0","0","0","0.016","0.017","0","0.107","0","0","0.002","0","0","0","0","0","0","0","0.056","0.034","0","0.013","0","0","0.767","0","0.006","0","0","0","0.747","0.061","0.793","0.341","0.177","0","0.86","0.591","0","0","0.077","0.079","0.043","0","0.001","0","0","0","0.025","0","0.485","0.426","0","0","0","0","0","0","0","0","0","0.414","0.877","0.924","0.667","0.384","0.225","0.495","0.746","0","1","0.733","0","0.922","0.761","0.466","0.657","0.202","0.688","0.53","0.761","0.307","0.712","0.546","0.712","0.712","0.712","0.44","0.535","0.424","0.648","0.143","0","0.276","0.67","0.605","0.333","0.47","0.369","0.91","0.288","0","0","0.066","0","0","0","0.012","0","0","0","0.132","0","0","0","0","0","0","0","0.004","0","0","0","0","0","0","0.041","0.789","0.939","0.774","0.728","0","0.54","0.216","0","0","0","0","0","0","0.655","0.712","0","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elden Pueblo","0","0","0","0","0","0.073","0.028","0","0.097","0.061","0.138","0.24","0.064","0.166","0.072","0.016","0.126","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0","0.028","0.022","0.025","0.028","0.028","0","0.028","0","0.065","0.028","0.028","0.013","0.028","0.028","0","0.032","0","0.024","0.052","0.037","0.032","0.055","0","0.126","0.032","0.062","0.06","0","0.017","0","0.032","0","0.019","0.07","0.036","0.027","0.028","0","0","0.021","0.028","0","0.032","0","0.021","0.032","0","0.028","0.028","0.045","0","0","0.06","0","0.143","0","0.028","0.021","0.044","0.045","0.028","0.032","0.028","0","0.011","0.028","0","0","0.002","0","0.028","0.008","0.06","0.06","0.023","0.041","0","0","0.533","0.028","0.034","0.028","0.028","0.028","0.945","0.077","0.657","0.369","0.204","0","0.811","0.446","0.028","0.028","0.105","0.101","0.051","0.028","0.028","0.028","0.028","0.028","0.053","0.028","0.753","0.666","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.381","0.72","0.809","0.516","0.33","0.178","0.448","0.612","0.028","0.733","1","0","0.795","0.972","0.393","0.478","0.128","0.478","0.455","0.709","0.232","0.478","0.472","0.478","0.478","0.478","0.366","0.46","0.35","0.478","0.068","0","0.201","0.478","0.446","0.258","0.635","0.575","0.696","0.527","0","0","0.034","0","0","0","0.007","0","0","0","0.07","0","0","0","0","0","0","0","0","0","0","0","0.008","0.028","0","0.053","0.944","0.776","0.567","0.93","0.028","0.673","0.244","0.014","0.028","0","0","0","0","0.478","0.478","0.028","0.014","0","0.028","0","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.039","0","0","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028"
"Burned Pueblo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.409","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0.572","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
