"","Buzan","Ash Terrace","Lost Mound","Dudleyville Mound","Leaverton","Camp Village","High Mesa","Bayless Ruin","Flieger","Big Bell","111 Ranch","Davis Ranch Site","Jose Solas Ruin","Armer Gulch Ruin","AZ U:4:009 (ASM)","AZ U:8:589 (ASM)","AZ V:5:125 (ASM)","Bass Point Mound","Griffen Wash Complex","Indian Point Complex","Las Tortugas","Los Hermanos","Meddler Point Mound","Pinto Point Mound","Pyramid Point Complex","Saguaro Muerto","Schoolhouse Point Mesa Complex","Tonto Cliff Dwellings","Lovelady Ranch","AZ W:11:7","WS Ranch","Foote Canyon Pueblo","AZ W:8:4","Blue PO Site","AZ W:8:9","LA 5939","LA 9777","LA 11493","LA 105878","Rudd Creek Pueblo","Slade","Greenwood","Springerville Area Site R57-59","Casa Malpais","Danson Pueblo","Hooper Ranch Pueblo","LA 3279","LA 4987","LA 4989","Pueblo Carrejo","LA 6063","LA 8090","Higgins Flat","LA 8099","Hudson Ranch","LA 83287","LA 85442","LA 3262","Gila Cliff Dwellings","3-Up","Babocomari Village","Hereford","NA 5653","Aztec","Maddox Ranch","Pendleton","Animas River Ruin","Flora Vista","Red Willow II","Clanton Draw","LA 6679","LA 6705","LA 6725","LA 6729","Skunk Springs","LA 7059","LA 7068","LA 7072","LA 7075","LA 7077","LA 7081","LA 7095","LA 7098","LA 7183","LA 7329","LA 7434","LA 7437","LA 7438","LA 7526","LA 7547","To Dil Hil Dry Lake","LA 7582","LA 7641","LA 7704","LA 7935","LA 7938","LA 8240","LA 8476","LA 8477","Shannon Bluff-Point","Salmon II","LA 20266","LA 50078","Stewart Ranch","Hoskins","Double Adobe","Saddle Bronc","Kello Blancett","Morris' Old Fort","LA 100068","LA 100069","Kinishba","Awat'ovi","Heshoda Yala:wa","Archeotekopa II","Techado Spring","Jaralosa","Fort Site","Horse Camp Mill","Hinkson Ranch","Ojo Pueblo","Eagle Crag","Eighteen Mile Ruin","Wide Reed Ruin","Hogay Ruin","Togetzoge","Gila Pueblo","Chevelon","Dinwiddie","Hukovi","Old Shongopavi I","Lululongturqi","Pink Arrow","Hubble Corner","Owens-Colvin","Fischer site","Yuma Wash Site","Emigrant Springs","Rocky Point","Wide Ruins","Schoolhouse Point Mound","Cooper Forks Cliff Dwelling","Roundy Ruin","Shumway Ruin","Fourmile Ruin","Bailey Ruin","NA 4566","Pottery Hill--Silver Creek","Pinedale Ruin","Blue Springs Ruin","Tundastusa","Sherwood Ranch","Bean Patch","Garcia Ranch","Broken K Pueblo","Hardscrabble Ruin","Puerco Ruin","Wallace Tank Ruin","Seven Springs","Malpais Spring","Homol'ovi III","Cottonwood Creek","Homol'ovi I","Scribe S","Upper Nutria","Lower Deracho","Day Ranch","Halona:wa South","Atsinna","Cienega","Mirabal","Tinaja","North Atsinna","Yellowhouse","Big House","Naat'a'anii Bikin","Lookout Site","Pueblo de los Muertos","Jack's Lake","Box S","LA 15560","LA 47563","Los Gigantes","Spier 81","LA 109857","Wupatki","Many Farms","Antelope House","Three Turkey House","White House II","Salina Springs II","Boss Ranch","Old Caves","Burned Pueblo","Turkey Hill Pueblo","Tachini Point","Inscription House","Whirling Spring","Tower House","Swallow's Nest","Betatakin","Kiet Siel","Batwoman House","Twin Caves Pueblo","Nagashi Bikin","Red House","Scaffold House","Moqui Rock Pueblo","Kinlani","Double Wall Ruin","NA 5628","NA 5651","NA 5654","Hummingbird House","NA 8816","NA 8839","Fireside","Otherside","Organ Rock","Pueblo Grande","Burnt Corn GH","Porcupine Wash","Pinon Ruin","Thief Site","AZ E:6:1","Ford House","Chavez Pass Pueblo","Montezuma Well (E.Rim)","Jackson Ranch Ruin","Clear Creek Ruin","Honanki","Pollack Ruin","Zanardelli Site","Gibbon  Springs","Cherry Creek Mound","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Whiptail Ruin","Tanque Verde Village","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Dakota Wash","Hodges Ruin","Romero Ruin","Los Morteros","Casa Buena","Kuykendall","Kimble Ranch/Glass Ranch","Curtis Ruin(Buena Vista)","Fort Grant Pueblo","Drip","Twin Towers","Juniper Terrace","Two Kivas","Atsee Nitsaa","Tuzigoot","Roosevelt 9:13","Crescent Site","Rattlesnake Mesa","Earven Flat Site","AZ CC:2:185","Danson 481","Rabid Ruin","San Xavier Bridge","Continental Site","Cerro Prieto--Santa Cruz","Omawovi","Paaqapa","Pivanhonkyapi","LA 76368","LA 7085","LA 7791","LA 8532","Yuma Wash--Tucson","CS165","CS195","LZ1232","LZ1245","LZ1307","LA 47508","LA 47515","LA 47561","LA 47562","LA 2347","LA 47564","LA 47565","LA 47581","LA 47591","FSOP13","FSOP15","AZ Q:4:58 (ASM)","Garden Canyon","Rillito Fan","LA 82683","LA 82762","LA 85954","LA 85796","LA 85989","LA 86013","LA 86027","LA 86037","LA 86054","Chodistaas","Veteado Pueblo"
"Horse Camp Mill","0.017","0.044","0.063","0","0.266","0","0.009","0.022","0.13","0.053","0.014","0","0","0.079","0.562","0.199","0.764","0.528","0.479","0.622","0.572","0.759","0.629","0.642","0.341","0.582","0.754","0.721","0.805","0.897","0.821","0.552","0.88","0.582","0.481","0.898","0.871","0.592","0.825","0.384","0.925","0.734","0.918","0.937","0.633","0.922","0.843","0.786","0.718","0.764","0.848","0.778","0.802","0.859","0.891","0.841","0.764","0.94","0.821","0.19","0","0","0","0.288","0.042","0.227","0.032","0.061","0.206","0.206","0.082","0.022","0.082","0.147","0.38","0","0.166","0","0.178","0.121","0","0.136","0","0.065","0.048","0","0.029","0.02","0","0.1","0.032","0.206","0.041","0","0.069","0.206","0.087","0","0.233","0.021","0.011","0.007","0","0.059","0.111","0.046","0.205","0.005","0.508","0.07","0.764","0.481","0","0.692","0.495","0.564","0.836","0.682","1","0.942","0.61","0.059","0.229","0.541","0.246","0.003","0.021","0.208","0","0","0","0","0","0.636","0.091","0.206","0.273","0.687","0.704","0.047","0.738","0.344","0.772","0.77","0.737","0.749","0.565","0.824","0.655","0.003","0.702","0.929","0.958","0.824","0.866","0.786","0.349","0.431","0.758","0.218","0.259","0.5","0.144","0.342","0.699","0.397","0.555","0.446","0.407","0.316","0.319","0.359","0.311","0.606","0.596","0.552","0.467","0.304","0.503","0.623","0.929","0.746","0.468","0.586","0.596","0.012","0.114","0.208","0.087","0.387","0.093","0.345","0.001","0","0.078","0.005","0","0","0","0","0","0","0","0","0","0.201","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.367","0","0.09","0.197","0","0.078","0","0.001","0.689","0","0","0","0","0.003","0","0","0.001","0.002","0","0.006","0","0","0","0","0","0","0","0","0.009","0","0.343","0.21","0","0.023","0","0.043","0.861","0.025","0.763","0.003","0","0.314","0","0.885","0","0","0","0","0","0","0","0.881","0.133","0","0.307","0.008","0.642","0.467","0.712","0.485","0.661","0.776","0.809","0.643","0.74","0.534","0.623","0.735","0.509","0.764","0.797","0.591","0.843","0","0","0.407","0.462","0.967","0.628","0.603","0.892","0.941","0.923","0.717","0.557","0.451"
"Hinkson Ranch","0.017","0.044","0.06","0","0.324","0","0.009","0.022","0.13","0.053","0.014","0","0","0.076","0.559","0.199","0.736","0.525","0.475","0.619","0.569","0.736","0.625","0.638","0.338","0.579","0.748","0.718","0.777","0.87","0.818","0.599","0.852","0.582","0.539","0.871","0.844","0.592","0.798","0.412","0.983","0.792","0.864","0.992","0.661","0.948","0.814","0.758","0.776","0.736","0.821","0.751","0.775","0.831","0.863","0.814","0.736","0.912","0.792","0.174","0","0","0","0.288","0.042","0.285","0.032","0.061","0.264","0.264","0.082","0.022","0.082","0.147","0.438","0","0.166","0","0.178","0.121","0","0.136","0","0.065","0.048","0","0.029","0.02","0","0.1","0.032","0.227","0.041","0","0.069","0.221","0.087","0","0.262","0.021","0.011","0.007","0","0.059","0.111","0.046","0.205","0.005","0.508","0.07","0.736","0.469","0","0.75","0.523","0.603","0.894","0.711","0.942","1","0.668","0.047","0.199","0.598","0.246","0","0.021","0.207","0","0","0","0","0","0.695","0.091","0.264","0.304","0.701","0.763","0.043","0.734","0.399","0.745","0.736","0.725","0.741","0.565","0.793","0.651","0","0.756","0.922","0.931","0.882","0.924","0.844","0.318","0.401","0.786","0.276","0.25","0.499","0.144","0.4","0.732","0.455","0.604","0.474","0.436","0.346","0.357","0.387","0.339","0.65","0.596","0.552","0.495","0.333","0.534","0.67","0.901","0.746","0.526","0.645","0.654","0.012","0.114","0.266","0.087","0.421","0.093","0.351","0","0","0.077","0.005","0","0","0","0","0","0","0","0","0","0.201","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.364","0","0.09","0.197","0","0.075","0","0.001","0.747","0","0","0","0","0.003","0","0","0.001","0.002","0","0.006","0","0","0","0","0","0","0","0","0.009","0","0.38","0.264","0","0.023","0","0.04","0.837","0.008","0.763","0","0","0.314","0","0.943","0","0","0","0","0","0","0","0.853","0.133","0","0.365","0.008","0.7","0.525","0.77","0.543","0.719","0.834","0.867","0.643","0.74","0.534","0.596","0.735","0.508","0.736","0.855","0.649","0.874","0","0","0.465","0.52","0.975","0.686","0.662","0.95","0.999","0.981","0.775","0.557","0.509"
"Ojo Pueblo","0.017","0.044","0.06","0","0.333","0","0.009","0.022","0.13","0.053","0.014","0","0","0.076","0.404","0.199","0.404","0.443","0.445","0.421","0.404","0.404","0.42","0.441","0.338","0.445","0.416","0.404","0.445","0.538","0.521","0.675","0.52","0.506","0.664","0.539","0.512","0.404","0.466","0.744","0.685","0.869","0.532","0.669","0.927","0.653","0.482","0.426","0.892","0.404","0.489","0.419","0.443","0.499","0.531","0.482","0.404","0.581","0.46","0.174","0","0","0","0.288","0.042","0.365","0.032","0.061","0.35","0.286","0.082","0.022","0.082","0.147","0.513","0","0.166","0","0.178","0.121","0","0.136","0","0.065","0.048","0","0.029","0.02","0","0.1","0.032","0.227","0.041","0","0.069","0.221","0.087","0","0.262","0.021","0.011","0.007","0","0.059","0.111","0.046","0.205","0.005","0.441","0.07","0.404","0.424","0","0.918","0.855","0.935","0.774","0.897","0.61","0.668","1","0.047","0.199","0.93","0.246","0","0.021","0.207","0","0","0","0","0","0.971","0.091","0.576","0.593","0.628","0.906","0.043","0.421","0.524","0.413","0.404","0.404","0.421","0.535","0.462","0.425","0","0.672","0.617","0.599","0.784","0.711","0.824","0.318","0.401","0.751","0.344","0.25","0.499","0.144","0.732","0.911","0.787","0.935","0.806","0.768","0.678","0.689","0.719","0.671","0.982","0.404","0.404","0.827","0.665","0.866","0.987","0.569","0.455","0.858","0.977","0.986","0.012","0.114","0.41","0.087","0.421","0.093","0.351","0","0","0.077","0.005","0","0","0","0","0","0","0","0","0","0.201","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.364","0","0.09","0.197","0","0.075","0","0.001","0.92","0","0","0","0","0.003","0","0","0.001","0.002","0","0.006","0","0","0","0","0","0","0","0","0.009","0","0.38","0.283","0","0.023","0","0.04","0.505","0.008","0.505","0","0","0.314","0","0.725","0","0","0","0","0","0","0","0.521","0.133","0","0.441","0.008","0.968","0.857","0.898","0.875","0.949","0.834","0.801","0.404","0.441","0.407","0.425","0.464","0.42","0.404","0.813","0.981","0.699","0","0","0.797","0.852","0.643","0.982","0.994","0.718","0.669","0.687","0.893","0.42","0.841"
"Eagle Crag","0.017","0.014","0.018","0","0.047","0","0.009","0.014","0.014","0.014","0.014","0.047","0","0.063","0.044","0.035","0.014","0.077","0.077","0.061","0.049","0.043","0.06","0.07","0.054","0.077","0.056","0.024","0.047","0.047","0.077","0.085","0.047","0.047","0.047","0.047","0.047","0.014","0.047","0.085","0.047","0.047","0.055","0.051","0.074","0.084","0.048","0.036","0.047","0.014","0.047","0.029","0.047","0.047","0.047","0.047","0.014","0.047","0.048","0.055","0","0","0.637","0.055","0.033","0.048","0.032","0.033","0.033","0.033","0.062","0.014","0.047","0.043","0.057","0","0.047","0","0.014","0.044","0","0.047","0","0.054","0.049","0","0.029","0.02","0","0.062","0.032","0.033","0.033","0","0.014","0.033","0.033","0","0.047","0.021","0.013","0.007","0","0.033","0.033","0.033","0.033","0.005","0.047","0.052","0.014","0.15","0.352","0.047","0.063","0.066","0.047","0.062","0.059","0.047","0.047","1","0.456","0.071","0.661","0.03","0.021","0.323","0","0.691","0.709","0.678","0.38","0.047","0.034","0.033","0.055","0.062","0.047","0.111","0.051","0.077","0.024","0.047","0.067","0.069","0.095","0.053","0.055","0.03","0.077","0.085","0.047","0.049","0.048","0.047","0.15","0.1","0.08","0.655","0.376","0.481","0.014","0.047","0.055","0.047","0.06","0.062","0.058","0.056","0.056","0.069","0.063","0.055","0.014","0.014","0.068","0.058","0.055","0.055","0.049","0.047","0.047","0.047","0.047","0.648","0.417","0.112","0.033","0.311","0.477","0.047","0.701","0.442","0.684","0.46","0.637","0.65","0.637","0.547","0.571","0.404","0.637","0.598","0.593","0.621","0.459","0.409","0.637","0.644","0.637","0.67","0.67","0.637","0.557","0.583","0.573","0.535","0.637","0","0.285","0.637","0.617","0.637","0.589","0.219","0.409","0.672","0.705","0.684","0.637","0.684","0","0.001","0.048","0","0","0","0","0.003","0","0","0.033","0.002","0","0.006","0","0","0","0","0","0","0","0","0.009","0","0.073","0.039","0","0.046","0.637","0.682","0.063","0.509","0.047","0.003","0","0.027","0","0.047","0","0","0","0","0.64","0.662","0.67","0.047","0.023","0","0.047","0.008","0.047","0.047","0.047","0.047","0.047","0.047","0.047","0.014","0.047","0.017","0.044","0.047","0.03","0.014","0.047","0.047","0.055","0","0","0.047","0.047","0.047","0.047","0.047","0.047","0.047","0.047","0.047","0.031","0.047"
"Eighteen Mile Ruin","0","0.044","0.064","0","0.06","0","0.009","0.022","0.13","0.053","0.014","0","0","0.054","0.248","0.178","0.199","0.259","0.276","0.259","0.263","0.227","0.263","0.221","0.284","0.292","0.229","0.208","0.199","0.199","0.296","0.246","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.247","0.199","0.199","0.241","0.202","0.272","0.242","0.2","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.2","0.099","0","0","0.404","0.199","0","0.021","0","0","0","0","0.082","0.022","0.015","0.119","0.174","0","0.093","0","0.178","0.091","0","0.038","0","0.026","0","0","0.014","0","0","0.029","0","0","0","0","0.069","0","0","0","0.027","0","0.002","0","0","0","0","0","0","0","0.199","0.012","0.199","0.372","0.069","0.199","0.255","0.226","0.199","0.232","0.229","0.199","0.199","0.456","1","0.207","0.479","0.199","0","0.283","0","0.404","0.404","0.404","0.119","0.199","0.071","0","0.098","0.214","0.199","0.13","0.219","0.334","0.2","0.331","0.369","0.385","0.199","0.204","0.219","0.199","0.246","0.277","0.199","0.199","0.199","0.199","0.337","0.248","0.33","0.416","0.669","0.603","0.144","0.136","0.224","0.191","0.211","0.26","0.347","0.143","0.113","0.231","0.143","0.213","0.199","0.199","0.291","0.152","0.253","0.21","0.2","0.199","0.199","0.199","0.199","0.404","0.47","0.031","0","0.397","0.453","0.139","0.404","0.279","0.436","0.408","0.404","0.404","0.404","0.404","0.404","0.341","0.404","0.404","0.404","0.479","0.404","0.361","0.404","0.411","0.404","0.404","0.404","0.404","0.404","0.404","0.404","0.404","0.404","0","0.169","0.404","0.404","0.404","0.404","0.172","0.392","0.404","0.404","0.515","0.404","0.467","0","0.001","0.199","0","0","0","0","0.003","0","0","0.018","0.002","0","0.006","0","0","0","0","0","0","0","0","0","0","0.157","0.006","0","0.011","0.404","0.41","0.199","0.229","0.199","0.003","0","0.199","0","0.199","0","0","0","0","0.404","0.404","0.404","0.199","0.133","0","0.101","0.008","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.284","0.199","0.199","0.199","0.199","0.199","0.294","0","0","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199"
"Wide Reed Ruin","0.017","0.044","0.061","0","0.333","0","0.009","0.022","0.13","0.053","0.014","0.016","0","0.077","0.334","0.199","0.334","0.373","0.376","0.351","0.339","0.334","0.35","0.372","0.338","0.375","0.347","0.334","0.375","0.467","0.451","0.675","0.45","0.436","0.664","0.468","0.442","0.334","0.396","0.753","0.614","0.798","0.461","0.598","0.863","0.584","0.412","0.356","0.821","0.334","0.419","0.349","0.373","0.429","0.461","0.411","0.334","0.51","0.391","0.174","0","0","0.024","0.321","0.042","0.366","0.057","0.086","0.376","0.286","0.123","0.047","0.107","0.173","0.548","0.025","0.191","0.025","0.203","0.147","0.025","0.161","0.025","0.097","0.09","0.025","0.054","0.045","0.025","0.14","0.057","0.252","0.066","0.025","0.095","0.246","0.112","0.025","0.288","0.047","0.039","0.033","0.025","0.059","0.111","0.046","0.205","0.03","0.397","0.101","0.346","0.361","0.013","0.848","0.864","0.939","0.704","0.828","0.541","0.598","0.93","0.071","0.207","1","0.279","0.001","0.021","0.231","0","0.024","0.008","0.008","0.024","0.9","0.091","0.576","0.593","0.571","0.835","0.072","0.351","0.525","0.343","0.347","0.347","0.354","0.48","0.393","0.355","0.001","0.602","0.547","0.528","0.715","0.641","0.754","0.338","0.413","0.681","0.368","0.258","0.487","0.144","0.741","0.841","0.795","0.939","0.815","0.777","0.687","0.698","0.728","0.68","0.934","0.346","0.346","0.837","0.674","0.875","0.917","0.498","0.397","0.866","0.938","0.938","0.035","0.138","0.459","0.125","0.482","0.128","0.351","0.036","0.008","0.113","0.033","0.024","0.024","0.024","0.024","0.024","0.049","0.024","0.024","0.024","0.236","0.024","0.04","0.024","0.031","0.024","0.059","0.058","0.024","0.024","0.024","0.039","0.048","0.024","0","0.024","0.024","0.024","0.024","0.008","0.049","0.4","0.008","0.098","0.22","0.024","0.099","0","0.001","0.851","0","0","0","0","0.003","0","0","0.023","0.002","0","0.006","0","0","0","0","0","0","0","0","0.009","0","0.381","0.284","0","0.066","0.024","0.07","0.462","0.043","0.435","0.001","0","0.314","0","0.654","0","0","0","0","0.024","0.024","0.024","0.451","0.167","0.025","0.479","0.008","0.898","0.865","0.828","0.883","0.879","0.764","0.731","0.346","0.383","0.349","0.367","0.406","0.362","0.346","0.743","0.931","0.628","0","0","0.805","0.86","0.573","0.911","0.936","0.647","0.599","0.616","0.823","0.35","0.849"
"Hogay Ruin","0.017","0.044","0.06","0","0.231","0","0.009","0.022","0.075","0.053","0.014","0.024","0","0.076","0.075","0.096","0.075","0.114","0.117","0.092","0.08","0.075","0.091","0.112","0.085","0.116","0.087","0.075","0.116","0.209","0.192","0.246","0.191","0.177","0.246","0.21","0.183","0.075","0.137","0.246","0.246","0.246","0.203","0.246","0.246","0.246","0.153","0.097","0.246","0.075","0.16","0.09","0.114","0.17","0.203","0.153","0.075","0.246","0.132","0.166","0","0","0.634","0.148","0.042","0.191","0.041","0.07","0.18","0.171","0.109","0.031","0.091","0.113","0.265","0.009","0.157","0.009","0.084","0.115","0.009","0.145","0.009","0.081","0.074","0.009","0.038","0.029","0.009","0.124","0.041","0.18","0.05","0.009","0.078","0.18","0.096","0.009","0.207","0.031","0.023","0.016","0.009","0.059","0.111","0.046","0.171","0.014","0.122","0.085","0.084","0.172","0.075","0.246","0.246","0.246","0.246","0.246","0.246","0.246","0.246","0.661","0.479","0.279","1","0","0.021","0.325","0","0.745","0.431","0.721","0.143","0.246","0.091","0.171","0.211","0.246","0.246","0.068","0.092","0.246","0.085","0.075","0.075","0.095","0.23","0.134","0.096","0","0.246","0.246","0.246","0.247","0.246","0.246","0.164","0.246","0.246","0.839","0.368","0.643","0.075","0.246","0.246","0.246","0.246","0.246","0.246","0.246","0.246","0.246","0.245","0.246","0.075","0.075","0.246","0.24","0.246","0.246","0.24","0.126","0.246","0.246","0.246","0.757","0.455","0.236","0.096","0.496","0.505","0.246","0.745","0.279","0.728","0.441","0.745","0.745","0.745","0.524","0.534","0.375","0.721","0.575","0.57","0.751","0.436","0.395","0.745","0.752","0.745","0.781","0.748","0.745","0.534","0.56","0.559","0.522","0.669","0","0.194","0.745","0.745","0.745","0.721","0.205","0.416","0.721","0.811","0.869","0.708","0.798","0","0.001","0.246","0","0","0","0","0.003","0","0","0.033","0.002","0","0.006","0","0","0","0","0","0","0","0","0.009","0","0.246","0.171","0","0.055","0.745","0.784","0.191","0.182","0.176","0","0","0.088","0","0.246","0","0","0","0","0.745","0.745","0.741","0.192","0.093","0.009","0.255","0.008","0.246","0.246","0.246","0.246","0.246","0.246","0.246","0.075","0.112","0.078","0.096","0.135","0.091","0.075","0.246","0.246","0.246","0","0","0.246","0.246","0.246","0.246","0.246","0.246","0.246","0.246","0.246","0.092","0.246"
"Togetzoge","0.179","0.179","0.183","0.009","0.179","0.179","0.026","0.034","0.127","0.104","0.179","0.048","0.011","0.017","0.05","0","0","0.062","0.08","0.119","0.06","0.029","0.07","0.024","0.085","0.093","0.034","0.036","0","0","0.103","0.039","0","0","0","0","0","0","0","0.034","0","0","0","0","0.019","0.029","0.001","0","0","0","0","0","0","0","0","0","0","0","0.001","0.003","0.033","0.021","0","0","0.122","0.123","0","0","0","0.122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.104","0","0.122","0.122","0","0","0","0","0.087","0","0","0.007","0.01","0","0.007","0.003","0","0","0.03","0.199","0.001","0","1","0.056","0.001","0.061","0","0","0","0","0","0.179","0.015","0.127","0.015","0","0.13","0.04","0.379","0","0.129","0.162","0.18","0","0.004","0.02","0.699","0.047","0.067","0","0","0","0","0.016","0.021","0.025","0","0.445","0","0","0","0","0","0.006","0.006","0.002","0","0.001","0.014","0.008","0","0","0","0.012","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0.122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.044","0","0","0","0","0.003","0","0","0.001","0.001","0","0","0","0","0","0","0.001","0.002","0","0.001","0","0","0","0","0","0","0.003","0","0.111","0.122","0.023","0.007","0","0","0","0.004","0","0.06","0","0.003","0.012","0.025","0.179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.015","0.019","0","0","0","0","0","0","0","0","0","0","0"
"Gila Pueblo","0.481","0.438","0.438","0.901","0.434","0.263","0.464","0.411","0.366","0.184","0.296","0.396","0.661","0.025","0.356","0.02","0","0.183","0.114","0.263","0.341","0.215","0.12","0.23","0.192","0.152","0.215","0.24","0.021","0.021","0.056","0.021","0.021","0.021","0.021","0.021","0.021","0","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0","0.021","0.015","0.021","0.021","0.021","0.021","0","0.021","0.021","0.296","0.011","0","0","0.021","0.032","0.024","0.021","0.021","0.021","0.021","0","0","0.021","0.021","0.021","0","0.021","0","0","0.021","0","0.021","0","0.021","0.021","0","0.014","0.02","0","0.021","0.021","0.021","0.021","0","0","0.021","0.021","0","0.021","0.021","0.011","0.007","0","0.053","0.021","0.021","0.031","0.005","0.021","0.021","0","0.167","0","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0","0.021","0.021","0.056","1","0.022","0","0","0","0","0","0.021","0.108","0.096","0.098","0.021","0.021","0.021","0.129","0.118","0.009","0.024","0.034","0.077","0.108","0.03","0.342","0.033","0.108","0.021","0.021","0.021","0.021","0.021","0","0.061","0.021","0.021","0.021","0.021","0","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0","0","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.012","0","0.021","0.021","0.021","0.021","0.252","0","0","0.021","0.001","0","0","0","0","0","0","0","0","0","0.021","0","0","0","0","0","0.021","0.021","0","0","0","0","0","0","0.032","0","0","0","0","0","0","0.028","0","0.021","0.021","0","0.015","0.01","0","0.021","0.001","0.237","0","0.076","0.009","0","0.032","0.033","0.002","0","0.035","0.003","0.032","0.032","0","0.032","0.039","0.005","0.032","0.014","0","0.053","0.168","0.032","0.014","0","0.021","0.021","0.002","0.021","0.559","0.579","0.07","0.137","0.021","0.002","0","0.001","0","0","0","0","0.021","0","0","0.021","0.002","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0","0.021","0.003","0.021","0.021","0.016","0","0.021","0.021","0.021","0.012","0.135","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.361","0.021"
"Chevelon","0.018","0.045","0.062","0.001","0.136","0.001","0.01","0.023","0.131","0.054","0.015","0.083","0.001","0.078","0.134","0.152","0.132","0.173","0.175","0.15","0.138","0.134","0.149","0.171","0.143","0.175","0.146","0.134","0.173","0.207","0.209","0.208","0.207","0.207","0.207","0.207","0.207","0.132","0.194","0.208","0.207","0.207","0.207","0.207","0.208","0.208","0.208","0.154","0.207","0.132","0.207","0.147","0.171","0.207","0.207","0.207","0.132","0.207","0.189","0.16","0","0","0.263","0.195","0.042","0.097","0.032","0.061","0.075","0.075","0.132","0.022","0.082","0.147","0.216","0","0.166","0","0.132","0.121","0","0.113","0","0.072","0.065","0","0.029","0.02","0","0.114","0.032","0.075","0.041","0","0.069","0.075","0.075","0","0.102","0.021","0.013","0.007","0","0.059","0.075","0.046","0.075","0.005","0.169","0.076","0.132","0.231","0.152","0.207","0.208","0.208","0.207","0.208","0.208","0.207","0.207","0.323","0.283","0.231","0.325","0.001","0.022","1","0","0.318","0.228","0.228","0.309","0.207","0.091","0.076","0.115","0.208","0.207","0.157","0.15","0.209","0.141","0.134","0.149","0.153","0.273","0.193","0.154","0.002","0.209","0.208","0.207","0.208","0.207","0.207","0.443","0.683","0.208","0.258","0.343","0.357","0.583","0.207","0.207","0.207","0.208","0.208","0.208","0.158","0.169","0.199","0.151","0.207","0.132","0.132","0.208","0.145","0.207","0.207","0.207","0.183","0.207","0.207","0.207","0.246","0.377","0.207","0.075","0.428","0.356","0.208","0.293","0.679","0.34","0.268","0.264","0.276","0.263","0.263","0.277","0.278","0.263","0.263","0.263","0.413","0.263","0.263","0.263","0.27","0.263","0.299","0.297","0.263","0.263","0.263","0.263","0.263","0.263","0","0.331","0.263","0.178","0.263","0.15","0.263","0.716","0.228","0.315","0.456","0.263","0.354","0.001","0.001","0.208","0","0.001","0","0.001","0.003","0","0","0.033","0.002","0","0.007","0","0","0","0","0","0.001","0","0","0.01","0","0.207","0.077","0","0.046","0.263","0.27","0.222","0.421","0.207","0.002","0.001","0.145","0.001","0.207","0.001","0","0","0","0.201","0.288","0.231","0.207","0.141","0","0.176","0.008","0.207","0.207","0.207","0.207","0.207","0.207","0.207","0.132","0.169","0.134","0.153","0.192","0.148","0.132","0.207","0.207","0.207","0","0.001","0.207","0.207","0.207","0.207","0.207","0.207","0.207","0.207","0.207","0.149","0.207"
